id,agency_user_id,title,description,property_type,status,price,currency,area_m2,bedrooms,bathrooms,parking_spots,floor_number,total_floors,year_built,province,city,district,address,latitude,longitude,has_pool,has_gym,has_garden,is_featured,views_count,published_at,updated_at
1b48ab82-2421-4e74-84bc-14a32c7cb862,6886adbc-deaf-4cdf-8204-6f552c628891,Apartamento moderno con balcón en Sabana Norte,Sistema tratamiento nunca salir. Fueron podrá servicio fuentes. Sociedad temas otras estilo cuba plazo experiencia. Violencia m función casos televisión nacional.,apartment,available,78484000,CRC,152.02,4,3,3,15,30,1998,province,city,district,"Corredor Nayarit 683 Edif. 081 , Depto. 987",9.9753601,-83.9354279,True,True,True,False,589,2025-10-23 16:44:58.261563-06:00,2025-10-23 16:44:58.261563-06:00
0c9bb8f3-5e02-48b3-bbeb-51c4dda08da0,5c9ded7e-bd44-43d4-9d4c-4172aa3ea492,"Apartamento ejecutivo en Sámara, piso 17",Razón norte hijo iglesia españa civil. Nadie pie nuevo sueño fueron energía. Peor primeros anterior sigue hijo encontrar.,apartment,available,139304000,CRC,178.94,2,1,0,5,17,1997,province,city,district,Privada Coahuila de Zaragoza 029 699,9.9028523,-84.1268837,False,False,True,False,368,2026-03-06 16:44:58.261670-06:00,2026-03-06 16:44:58.261670-06:00
0e364f98-6298-4d06-852f-9d5bac524a44,42df8c3e-05fb-49ee-9c6d-dd3884dd8915,"Residencia de lujo en San José, San José",Blanco edad amigo palabras humano fuego cantidad sea. Dejar respecto fecha llamado. Nuevos sino madrid cada cuatro considera. Momento amigo ante caso plazo contenido sueño.,house,sold_out,420000,USD,206.8,2,2,1,,1,2007,province,city,district,Peatonal Colima 747 Interior 479,9.9152603,-83.9903101,True,False,False,False,600,2026-06-25 16:44:58.261747-06:00,2026-06-25 16:44:58.261747-06:00
e3a4a6ed-b51c-4311-ac58-d0240e6b94e5,6886adbc-deaf-4cdf-8204-6f552c628891,Apto de 4 habitaciones en San José,Familia primeros padre buen país ser. Número ejemplo campo punto. Centros muestra consecuencia. Madre padre premio somos psoe mar día. Posible menor produce rafael.,apartment,available,89533000,CRC,74.88,4,3,0,15,18,1991,province,city,district,Andador Norte Quiñones 047 899,9.8172331,-84.0313039,True,False,False,False,128,2025-06-25 16:44:58.261822-06:00,2025-06-25 16:44:58.261822-06:00
3b3b990a-a004-477c-8e84-3c47ef47c7a9,f45525cf-17b3-4d3c-87a5-d103d781cf92,"Unidad en Condominio Privado, Limón",Organización ello éste algún psoe final riesgo. Mitad española obra análisis santiago quiere junto. Sistemas esas actividad septiembre méxico seguir políticas. Ve contrario mano demás iba. He debido uno.,condominium,available,236619000,CRC,193.66,2,1,0,,2,2007,province,city,district,Periférico Colima 357 Interior 363,9.7972944,-84.2336562,False,False,False,False,535,2026-06-22 16:44:58.261900-06:00,2026-06-22 16:44:58.261900-06:00
102a8a89-ef5d-4657-bff6-84c3dbe59e54,c522fc00-ebb4-439d-ab2b-c14b958d145b,Condo de 2 habitaciones en Tres Ríos,Posición natural presenta de aire. Memoria pública allá pie. Sociales asunto nivel mismo especial principales. Importantes día muy presenta mil hospital cuestión origen.,condominium,sold_out,325000,USD,120.0,2,1,3,,2,2016,province,city,district,Viaducto Chiapas 685 779,10.0145755,-84.101824,False,False,True,False,286,2026-02-13 16:44:58.261964-06:00,2026-02-13 16:44:58.261964-06:00
bd186db5-777c-423f-a175-88ef04b6040f,42df8c3e-05fb-49ee-9c6d-dd3884dd8915,"Lote plano en urbanización, Liberia Centro",Adelante abril cabo. Pese allí arte. Padres haya al buscar dónde cosas cantidad. Médico aquellos hecho relación cambios título.,land,available,40316000,CRC,2140.71,0,0,0,,0,,province,city,district,Boulevard Sur Pichardo 427 522,9.9218178,-84.111432,False,False,False,True,486,2025-10-19 16:44:58.262029-06:00,2025-10-19 16:44:58.262029-06:00
96fdc65f-3100-4160-beb0-42eda765e494,4b03c34a-2ec7-42e8-a496-8763f64b8bda,"Hermosa casa en condominio privado, Alajuela Centro",Nunca sur mis nombre. Temas haya pablo político mundo habían. Larga figura momentos duda partes. Hoy hacen quién afirmó parte jamás idea.,house,sold_out,306518000,CRC,310.07,4,1,3,,2,2008,province,city,district,"Callejón Puga 522 Edif. 867 , Depto. 331",9.9060604,-83.9277524,False,True,False,False,4,2025-07-23 16:44:58.262093-06:00,2025-07-23 16:44:58.262093-06:00
8a4c9e8d-b8f2-4726-b737-9d3d087fa374,96efd4d2-e8c2-40a3-89fa-7e6eda53c9e2,Penthouse en Alajuela con vista panorámica,Estaban debido sea título tipo. Cualquier cuerpo partes. República pública esfuerzo color ninguna civil haciendo cosa. Noviembre martín pueda visto cierta.,apartment,available,44863000,CRC,134.85,5,1,0,5,20,2000,province,city,district,"Calle Quintana Roo 151 Edif. 479 , Depto. 588",9.778716,-83.9497163,False,False,True,False,716,2025-12-29 16:44:58.262160-06:00,2025-12-29 16:44:58.262160-06:00
39c82d46-d7da-4ee3-bcf3-25948eefd1fd,96efd4d2-e8c2-40a3-89fa-7e6eda53c9e2,"Apartamento ejecutivo en Puerto Limón, piso 23",Libro cabeza agua razón ya autoridades cerca. Amor más trabajar soy puntos sobre. Popular ciencia resultados libros. Formación ser sola evitar proyecto piel.,apartment,available,78694000,CRC,77.71,4,4,1,23,23,2020,province,city,district,Periférico Sur Véliz 170 921,9.8354934,-83.9795228,True,False,False,False,248,2026-02-06 16:44:58.262229-06:00,2026-02-06 16:44:58.262229-06:00
