id,property_id,buyer_user_id,status,message,rejection_reason,price_at_request,currency_at_request,buyer_notified,agency_notified,requested_at,responded_at,created_at,updated_at
45c45390-e4b5-43a6-b5df-a2e807f9ee4f,d505ac1f-ab19-4d2b-9e9a-b6aa972e1cfd,663b8db8-a7e1-41a0-84e8-814f68f4f37a,accepted,Tipos ojos medio tú pesar viaje central.,,247000,USD,True,True,2026-06-21 16:44:58.270372-06:00,2026-06-23 16:44:58.270372-06:00,2026-06-21 16:44:58.270372-06:00,2026-06-23 16:44:58.270372-06:00
deca02a7-a138-4451-8c52-4cb4840b8cff,96fdc65f-3100-4160-beb0-42eda765e494,6d323590-f99e-4a0f-a9f3-30f82bf63721,accepted,Comenzó luis mira.,,306518000,CRC,True,True,2026-04-09 16:44:58.270424-06:00,2026-04-13 16:44:58.270424-06:00,2026-04-09 16:44:58.270424-06:00,2026-04-13 16:44:58.270424-06:00
8a04f41b-e435-4f0c-a59f-652d1b2b54e6,9e62c61c-d746-4922-b430-acc1404570f9,043ec065-1baf-4e97-8c97-3122fe40c3b4,rejected,Arte presente paso secretario maría.,La documentación de financiamiento no cumple con nuestros requisitos mínimos. Puede volver a aplicar cuando tenga la aprobación bancaria.,196587000,CRC,True,True,2026-05-10 16:44:58.270451-06:00,2026-05-12 16:44:58.270451-06:00,2026-05-10 16:44:58.270451-06:00,2026-05-12 16:44:58.270451-06:00
f24a3a26-e506-4690-ad01-3680a37b5a46,e31ef646-71d2-4803-a640-db65935e0cc4,ed1e6fdb-3e53-4813-b7c3-05e992d498e8,accepted,Hacer productos dónde estado.,,307659000,CRC,True,True,2026-06-17 16:44:58.270472-06:00,2026-06-25 16:44:58.270472-06:00,2026-06-17 16:44:58.270472-06:00,2026-06-25 16:44:58.270472-06:00
85cf535f-6728-45d7-875a-2dcbf3553ffc,9b55e2b5-b217-4df6-ae8d-b1a0fbaff706,6e0f41c8-2a00-4010-8f50-689427905154,accepted,,,80478000,CRC,True,True,2026-04-27 16:44:58.270489-06:00,2026-05-02 16:44:58.270489-06:00,2026-04-27 16:44:58.270489-06:00,2026-05-02 16:44:58.270489-06:00
22bc61de-2034-466f-9bd6-de7d48876fa1,145696d2-195b-4fda-bc3e-f1109261bda3,6495bfec-8864-4441-9a5b-ad09aff7b980,rejected,Y parece ley ella hablar.,El comprador no completó la documentación requerida en el plazo establecido.,112000,USD,True,True,2026-04-08 16:44:58.270496-06:00,2026-04-12 16:44:58.270496-06:00,2026-04-08 16:44:58.270496-06:00,2026-04-12 16:44:58.270496-06:00
e53bf257-8931-48f4-a99e-7c63abbae135,2be93dab-642f-4bb4-9c9d-bbc5f2ffc146,9a88019a-610d-476f-bee3-5cab7744ce79,rejected,Gran jóvenes unión educación.,El propietario decidió no proceder con la venta en este momento.,600000,USD,True,True,2026-06-24 16:44:58.270512-06:00,2026-06-25 16:44:58.270512-06:00,2026-06-24 16:44:58.270512-06:00,2026-06-25 16:44:58.270512-06:00
dfd19090-3004-48ca-a58f-dba70c58612c,3b3b990a-a004-477c-8e84-3c47ef47c7a9,92664660-83ee-4889-88a8-aa745240bf4f,accepted,Ocasiones trabajo misma mi tierra cada u.,,236619000,CRC,True,True,2026-06-01 16:44:58.270527-06:00,2026-06-05 16:44:58.270527-06:00,2026-06-01 16:44:58.270527-06:00,2026-06-05 16:44:58.270527-06:00
62fdd04d-5463-4585-8319-4a014eba8a25,f7f99716-0098-47d4-a8cf-4b8e4894998e,53896f94-3e54-4240-99a0-f15db77d970c,pending,Hacerlo objetivo corte junio.,,122112000,CRC,False,True,2026-07-03 16:44:58.270542-06:00,,2026-07-03 16:44:58.270542-06:00,2026-07-03 16:44:58.270542-06:00
6dee67fd-fcf1-463f-9ad9-36cb4b26d1bd,7796e3bc-eed3-4598-be79-38aeabd317c4,4122ce64-1b0f-4bc0-b0e5-bf6978fc1f81,accepted,,,123488000,CRC,True,True,2026-05-13 16:44:58.270555-06:00,2026-05-17 16:44:58.270555-06:00,2026-05-13 16:44:58.270555-06:00,2026-05-17 16:44:58.270555-06:00
